tag,userid,text,others,time,date,ip,sentiment_lr,sentiment_nb,sentiment_snow,country,city,jieba_text,candidate,round
推,gn02160940, 來了, 180.218.16.139 12/18 19:00,19:00,12/18 , 180.218.16.139 ,neg,neg,0.6451612903225805,Taiwan,Taipei,  ,,12/18
推,mnhyuiop, 我第一,114.32.93.156 12/18 19:00,19:00,12/18 ,114.32.93.156 ,neg,neg,0.5503512880562061,Taiwan,Danshui District,   第一,,12/18
推,rockon15, https, 1.161.230.117 12/18 19:00,19:00,12/18 , 1.161.230.117 ,neg,neg,0.5,Taiwan,Banqiao District,   https,,12/18
推,ianenix, 挖石油挖起來,175.182.10.209 12/18 19:00,19:00,12/18 ,175.182.10.209 ,neg,neg,0.39530240680016937,Taiwan,Zhongli District,   挖 石油 挖起來,,12/18
推,GentleJena, 亞利安星球辯論法, 61.227.136.218 12/18 19:00,19:00,12/18 , 61.227.136.218 ,neg,neg,0.23739700862914515,Taiwan,Taipei,   亞利安 星球 辯論 法,,12/18
→,mnhyuiop, 我第四,114.32.93.156 12/18 19:00,19:00,12/18 ,114.32.93.156 ,neg,neg,0.3921568627450982,Taiwan,Danshui District,   第四,,12/18
→,rockon15, 低能兒 出來集合了,1.161.230.117 12/18 19:01,19:01,12/18 ,1.161.230.117 ,neg,neg,0.2829340129106559,Taiwan,Banqiao District,   低能兒   集合,,12/18
推,JANUARZ, 來了,223.136.135.92 12/18 19:01,19:01,12/18 ,223.136.135.92 ,neg,neg,0.6451612903225805,Taiwan,Taipei,  ,,12/18
推,dioradio, 陰囊臉又要瘋狂開空頭支票了, 110.50.140.127 12/18 19:01,19:01,12/18 , 110.50.140.127 ,neg,neg,0.031507401966491266,Taiwan,Banqiao District,   陰囊 臉 瘋狂 開 空頭支票,,12/18
推,bonfferoni, 看戲囉,180.176.0.145 12/18 19:01,19:01,12/18 ,180.176.0.145 ,neg,neg,0.535856484227819,Taiwan,Taipei,   看戲 囉,,12/18
→,stlevi811101, 等人剪韓國瑜精華, 140.113.62.220 12/18 19:01,19:01,12/18 , 140.113.62.220 ,neg,neg,0.9731703710374908,Taiwan,Zhudong Township,   人 剪 韓國瑜 精華,,12/18
→,rockon15, 去拍愛河阿, 1.161.230.117 12/18 19:01,19:01,12/18 , 1.161.230.117 ,neg,neg,0.9791180038463981,Taiwan,Banqiao District,   拍 愛河,,12/18
推,akway, 爆米花準備好啦,223.137.149.54 12/18 19:01,19:01,12/18 ,223.137.149.54 ,neg,pos,0.012934913747593035,Taiwan,Taipei,   爆米花 好,,12/18
推,yafx4200p, 誰看 無聊,220.133.115.236 12/18 19:01,19:01,12/18 ,220.133.115.236 ,neg,neg,0.19588919933603732,Taiwan,Changhua City,     無聊,,12/18
推,candysagaboy, 韓粉要暴動了,114.25.57.174 12/18 19:01,19:01,12/18 ,114.25.57.174 ,neg,neg,0.6458564863580093,Taiwan,Taoyuan District,   韓粉 暴動,,12/18
推,KeynesGG, 讀稿機表現超爛,36.229.99.205 12/18 19:01,19:01,12/18 ,36.229.99.205 ,neg,pos,0.14051757680632326,Taiwan,Taipei,   讀稿機 表現 超爛,,12/18
→,rie779, 這畫面感感覺經費很拮据, 1.163.83.2 12/18 19:01,19:01,12/18 , 1.163.83.2 ,neg,pos,0.06783127840302483,Taiwan,Taipei,   畫面感 感覺 經費 拮据,,12/18
推,godtim, 韓粉要大量湧入了, 114.38.246.250 12/18 19:01,19:01,12/18 , 114.38.246.250 ,neg,neg,0.4737672181921908,Taiwan,Magong,   韓粉 湧入,,12/18
推,sam20135, 看好戲囉, 111.252.68.249 12/18 19:01,19:01,12/18 , 111.252.68.249 ,neg,neg,0.664531963715534,Taiwan,Taipei,   好戲 囉,,12/18
推,jsai, 看戲看戲, 1.174.66.140 12/18 19:01,19:01,12/18 , 1.174.66.140 ,neg,neg,0.5968537473498813,Taiwan,Kaohsiung City,   看戲 看戲,,12/18
推,frtwwilo, 期待韓導新笑話^_^, 101.15.205.93 12/18 19:01,19:01,12/18 , 101.15.205.93 ,pos,pos,0.47404226761351986,Taiwan,Taipei,   期待 韓導 新 笑話,,12/18
推,wubairock, 各縣市都有賽車場，各縣市都發大財！, 121.254.99.67 12/18 19:01,19:01,12/18 , 121.254.99.67 ,neg,neg,0.7346340507338959,Taiwan,Taichung,   各縣市 賽車場 各縣市 發大財,,12/18
推,arcslam, 明天新聞不用煩惱沒素材了 XD, 114.24.131.189 12/18 19:01,19:01,12/18 , 114.24.131.189 ,neg,pos,0.8710168990457527,Taiwan,Taipei,   明天 新聞 不用 煩惱 素材   XD,,12/18
推,OOQ, 好久沒看電視笑話冠軍了,36.233.8.241 12/18 19:01,19:01,12/18 ,36.233.8.241 ,pos,pos,0.04653295659830081,Taiwan,Taichung,   好久沒 電視笑話冠軍,,12/18
推,ayumina11, 吃飯等, 223.139.3.180 12/18 19:01,19:01,12/18 , 223.139.3.180 ,neg,neg,0.2796059649320132,Taiwan,Changhua,   吃飯,,12/18
→,james732, 為什麼三長聲只有嗶兩聲,223.137.1.7 12/18 19:01,19:01,12/18 ,223.137.1.7 ,neg,neg,0.01622737529581253,Taiwan,Taipei,   三長 聲 嗶 兩聲,,12/18
推,a2364983, https,61.216.122.63 12/18 19:01,19:01,12/18 ,61.216.122.63 ,neg,neg,0.5,Taiwan,Taichung,   https,,12/18
推,Julian9x9x9, 電視笑話冠軍, 39.11.68.37 12/18 19:01,19:01,12/18 , 39.11.68.37 ,pos,pos,0.07588960619421703,Taiwan,Taoyuan District,   電視笑話冠軍,,12/18
→,ghchen1978, 唸經大會??,219.91.23.233 12/18 19:01,19:01,12/18 ,219.91.23.233 ,neg,neg,0.035064255337424854,Taiwan,Taipei,   唸經 大會,,12/18
推,alec1215,, 122.116.108.113 12/18 19:02,19:02,12/18 , 122.116.108.113 ,neg,neg,,Taiwan,Daxi District,,,12/18
推,F12, 每縣市大機場,42.74.224.23 12/18 19:02,19:02,12/18 ,42.74.224.23 ,neg,neg,0.08591464189648013,Taiwan,Kaohsiung City,   縣市 機場,,12/18
→,a2364983, TWITCH官方網址可以補進內文~, 61.216.122.63 12/18 19:02,19:02,12/18 , 61.216.122.63 ,neg,neg,0.06905175756234727,Taiwan,Taichung,   TWITCH 官方 網址 補進 內文,,12/18
推,nzxc, 阿扁凍蒜, 42.74.50.231 12/18 19:02,19:02,12/18 , 42.74.50.231 ,neg,neg,0.2308283396275872,Taiwan,Taoyuan District,   阿扁 凍 蒜,,12/18
→,ash9911911, 發財發財 發大財,112.105.151.69 12/18 19:02,19:02,12/18 ,112.105.151.69 ,neg,neg,0.9869542566114563,Taiwan,Taipei,   發財 發財   發大財,,12/18
→,minoru04, 未看先猜聊天4大量老韓粉,36.236.118.193 12/18 19:02,19:02,12/18 ,36.236.118.193 ,neg,neg,0.2854534567396184,Taiwan,Tainan City,   未 先猜 聊天 韓粉,,12/18
推,Paradisean, 加油, 101.9.195.76 12/18 19:02,19:02,12/18 , 101.9.195.76 ,pos,pos,0.9047619047619047,Taiwan,Keelung,   加油,,12/18
推,laisland, 電視笑話冠軍 回來啦, 111.82.13.101 12/18 19:02,19:02,12/18 , 111.82.13.101 ,pos,pos,0.07014632664958409,Taiwan,Taichung,   電視笑話冠軍   回來,,12/18
推,leon1757tw, 電視笑話冠軍來了, 220.136.41.3 12/18 19:02,19:02,12/18 , 220.136.41.3 ,pos,pos,0.11849683207678263,Taiwan,Zhubei City,   電視笑話冠軍,,12/18
推,Summer1308, 征服宇宙,36.226.180.99 12/18 19:02,19:02,12/18 ,36.226.180.99 ,neg,neg,0.9854062487073498,Taiwan,Zhubei City,   征服 宇宙,,12/18
推,wwf0322, 會不會有人提肛門, 27.242.138.62 12/18 19:02,19:02,12/18 , 27.242.138.62 ,neg,neg,0.024356521957152433,Taiwan,Hsinchu,   有人 提 肛門,,12/18
→,bonfferoni, 牆壁還黑黑的,180.176.0.145 12/18 19:02,19:02,12/18 ,180.176.0.145 ,neg,neg,0.08433861114309105,Taiwan,Taipei,   牆壁 黑黑的,,12/18
推,murray, 未看先猜韓國瑜發表政見都在罵蔡英文, 61.228.8.195 12/18 19:02,19:02,12/18 , 61.228.8.195 ,neg,neg,0.6340311296520894,Taiwan,Banqiao District,   未 先猜 韓國瑜 發表 政見 罵 蔡英文,,12/18
→,dioradio, 全台各縣市要蓋22座國際機場, 110.50.140.127 12/18 19:02,19:02,12/18 , 110.50.140.127 ,neg,neg,0.07237873292325492,Taiwan,Banqiao District,   全 台 各縣市 要蓋 座 國際機場,,12/18
→,minoru04, 圖奇根水管兩個世界, 36.236.118.193 12/18 19:02,19:02,12/18 , 36.236.118.193 ,neg,neg,0.33118005538822126,Taiwan,Tainan City,   圖奇根 水管 兩個 世界,,12/18
推,sorrywow, 準備笑死中,223.138.255.191 12/18 19:02,19:02,12/18 ,223.138.255.191 ,neg,pos,0.06556836469771943,Taiwan,Chiayi City,   笑死 中,,12/18
→,hawaii987, 讀稿機有稿嗎, 49.217.99.236 12/18 19:02,19:02,12/18 , 49.217.99.236 ,neg,neg,0.076573904870462,Taiwan,Taichung,   讀稿機 有稿,,12/18
→,kivan00, 什麼政見? 八成時間都拿來罵中央吧,114.46.196.185 12/18 19:02,19:02,12/18 ,114.46.196.185 ,neg,neg,0.030726550124953622,Taiwan,Taipei,   政見   時間 拿來 罵 中央,,12/18
推,c871111116, 我大韓總第一 777777777777777777, 175.182.176.168 12/18 19:02,19:02,12/18 , 175.182.176.168 ,neg,neg,0.2677050790906147,Taiwan,Taipei,   我大韓 總 第一   777777777777777777,,12/18
推,walkmen, 主持人李進勇是以前那位民進黨雲林縣長,42.72.52.248 12/18 19:02,19:02,12/18 ,42.72.52.248 ,neg,neg,0.6858944922226159,Taiwan,Zhongli District,   主持人 李進勇 那位 民進黨 雲林 縣長,,12/18
→,OOQ, 國瑜得第一！,36.233.8.241 12/18 19:02,19:02,12/18 ,36.233.8.241 ,neg,neg,0.5242466112163107,Taiwan,Taichung,   國瑜 第一,,12/18
